subject,session,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,difficulty,fun,clarity,strategy,feedback
02lqpjp4pevk73p8f7ipewf9,2,23.64,0,4,4,4,4,0,2,4,5,I said the letters or symbols aloud and made a song out of it whether to press or let go so I could remember what to do.,I really enjoyed this survey and game. Everything ran smoothly with no issues!
09byk3dg92is9b06rwaybmoh,2,31.48,3,4,4,4,4,0,2,3,5,"I just went off instinct, since they changed so often. I couldn't consciously determine what the conditions of the changes were so let the back of my brain do the work as far as timing, etc. ",
1ahxnduc1fr21fpplm87wkk6,2,19.56,6,4,4,4,4,0,3,4,5,no,none
1nn8ci654pmi5ny2ho1q3dxi,2,19.03,1,4,5,4,4,0,2,4,5,I just tried to remember the symbols,No
1x8zaa76pikfxwotrhhxcogi,2,22.2,2,4,4,4,4,0,4,5,5,I tried using more intuition and a little bit of memory but sometimes the same symbols rewarded different answers so it was hard to predict.,No other comments
1ztbhfxllii1xhq9f1v62x26,2,23.27,2,5,4,6,5,0,4,5,5,Just tried to notice patterns.,Thanks stay safe and good luck with your work
2b5obc6ufsggq6sv58asdi6i,2,29.3,0,4,4,5,4,0,4,5,5,"Initially, I had to guess which robots needed repair versus which robots should be ignored. I paid attention to the points awarded until I was able to establish a pattern of which robots to repair/ignore. I also paid attention to any of the robots changing repair/ignore status throughout the game. Since this version of the game had symbols on the robots, I associated the symbols with something familiar (for example, one of the symbols looked like an upside down house and others looked like letters). This helped me remember the robots a bit more vividly since the symbols were not familiar to me.  ",This was a very interesting study. Thanks for the opportunity. 
3bjwmrvejholhv36ho3y3mh8,2,19.81,2,4,4,4,4,0,4,5,5,"Whenever I saw a new robot, I'd try to do the same strategy on it the first few times I saw it so I could get a picture of whether it usually needs to be repaired or not.",
3kg0pvgsyc9iqyb89p6yr1oh,2,19.77,0,4,4,4,4,0,4,5,5,"found it a little easier this time sorting between red and blue, and positive and negative",no
41n6nzd0x6ka5vdi63op8le0,2,19.08,0,4,4,4,4,0,2,4,5,I specifically kept to certain actions for certain symbols until I saw a pattern then I tried to follow the pattern if I did see one.,
41tzei8zdxnl7g0ylu26ieur,2,18.53,0,4,4,4,4,0,3,4,5,no,no
46b5352aly4p8vyup0c3qupa,2,20.71,18,4,4,4,4,0,2,4,5,I only memorized the symbols that earned me points or lost me points.,None.
4eieaza893bbdomymq9tbyc5,2,17.39,1,4,4,4,4,0,2,3,5,"no, just very limited brainpower",nope
4pslf12zjxl5o101sd4874sx,2,24.24,17,4,4,4,4,0,4,4,5,,
54fjwf0mzvlpbybzj7v87eq1,2,17.67,8,4,4,4,4,0,2,4,5,Not really.,Nope
55dxh6v7nb1nnkvit5kjedbq,2,18.33,4,4,4,4,4,0,2,4,5,No.,none
5lsfzqrcs8ztdl2pc36tmwu3,2,23.47,0,4,4,4,7,1,2,4,5,"just tried  memorizing some symbols, but I have poor short term memory, and it was hard",thankyou
5n1hjh6yfczmmzzimlklbfaj,2,18.22,0,4,4,4,4,0,5,5,5,"I tried to memorize the symbols by giving them names such as ""angle"", ""T"", ""U"", ""egg"", etc.",N/A
6jphiv663y8a7ztz5tvdi7lg,2,18.87,4,4,4,4,4,0,1,4,5,Just the same as last time,I feel kind of upset right now. :(
6oznn9uweo0zvv0igie5jp1c,2,19.55,5,5,4,4,4,0,5,5,5,No. I just tried to remember the symbols vs whether they could be ignored or needed work.,
72yuyu49877hzl64v55frwns,2,20.71,21,4,4,4,22,0,2,1,4,no,no
783ec1u4y9q2mvd4gn99cqle,2,20.16,2,4,4,4,4,0,2,4,5,Tried to remember the symbols the best I could,none
79ozvpaawu1czcm1lc73t8kl,2,21.4,8,4,4,4,4,0,3,5,5,I just named things with common words and tried to remember which names I should click on.,
7pj2tr5tvmm7sl3haj9i43h5,2,19.3,1,4,4,4,4,0,2,5,5,Just try to remember and pay attention for changes.,none.
7qcj7p8ty67r40ibod4gc7x3,2,23.59,34,5,4,4,4,0,2,5,5,I repeated in my mind over and over just the ones I should click the spacebar on,
8xb0w7ymbzh79dczn495d4v0,2,18.19,0,4,4,4,4,0,2,3,5,I just tried to visually memorize which bots to take actions on.,
91ozs28t2tqcv9vxg71418gq,2,26.75,88,4,4,4,4,0,4,3,5,no,thanks
9837apqznjy786osu3nc4ocv,2,21.28,0,4,4,4,4,0,4,5,5,Memory alone.,None.
a5wl0pomehy4gk4apsj1j9st,2,20.79,2,4,4,4,4,0,4,4,5,I just tried to keep track of the trends in what robots needed repairs as I went,n/a
aiwtf29fpjnkies83n9z0s14,2,21.35,0,4,16,13,5,1,4,5,5,tried to remember symbols,none
bo7cc67np3rta5u4f1ucauzw,2,22.87,1,4,4,4,4,0,1,3,5,"I tried to guess which would need fixing based on whether they did in the past, but they seemed to change often.",
bp4z9a7hwnxzktpfn6865mkt,2,28.84,42,4,4,4,4,0,2,4,5,Trying to remember which robots pay what,none
br020pbmnr90dyxzpn07huez,2,18.32,14,4,4,4,4,0,2,4,5,i tried naming the symbols in  my head,
buyou8v1ln54ftsmh5g3j7mz,2,19.92,6,4,4,4,4,0,5,5,5,Tried and watched for a pattern,"interesting study, thank you"
cnhti28mtom8ro1mn6gr3l7p,2,17.37,4,4,4,4,5,0,4,4,5,no,none
d8chcodi567gbbm3g0pk82m5,2,18.0,0,5,4,4,4,0,2,4,5,just tried to remember the symbols,none
