subject,session,comprehension,difficulty,fun,clarity,strategy,feedback
0ubclurpshlgyru3cwo3stun,1,1,4,4,5,I just memorized which ones generally yielded the best results.,No
11tg5yxy1g1hl5rwr7qap82j,1,2,4,4,5,NOTHING,GOOD
12ide102xqajrz6cxib9berc,1,1,4,5,5,No,
1dneojj1ydge4lw1zgtzfoj8,1,1,2,4,4,,
1e7zni3hs3hxwy7aqhg0bkb0,1,1,4,4,5,tried to remember the shapes,no
1idwvxzpt8dvsgsfthnl4uu1,1,1,4,5,5,I just tried to remember what pattern gave which result.,
1pvf4ir8v21v5wrnei5xl1zq,1,1,4,4,5,,
35u9tjs3cet5fhuskp61780m,1,1,5,4,5,"No, I just eventually figured out which symbols to reject/accept.",
3eazb0ta6orlr8pndlxjcx7u,1,1,4,5,5,"I just tried to memorize which symbols were good, and which were bad.",
3jbtztfuani1nngygmcdf2tj,1,1,4,4,5,"I attributed more-recognizable names to the symbols like ""R"" and ""Flag"" and ""Tie"" etc.",none
3jijrkavuzibk5dbcpckeszy,1,1,3,4,5,I stuck with my instincts,
3uyqn5io0l0baxb4j39wxv63,1,4,3,4,4,no ,
3wbvn159qj7euefwbye5hsa1,1,1,5,5,5,"No, I just did my best to remember what got me the best results",This was fun!
48mo481q4rmdo6g2jkwat6is,1,1,5,5,5,none,Thanks!
49tag69y1779cq1xg8vbych8,1,1,2,4,5,I said the shape outloud with a yes or no,Thank you
4czoxtp58q3xntzt3xinuxym,1,2,4,4,5,Just tried to remember what typically paid out what.,
4dymnxa4iq2lis85044q2d18,1,1,3,2,4,no strategies ,no issues or concerns
4h35z4tknl9w66kawo0m99q7,1,1,4,3,5,no,
4mgb8kl5yu9c3gnz77hricuo,1,1,4,4,5,no,none
4qb5f90qopafnsvaa9g13z39,1,1,4,4,5,none I used my instincts ,
4slss2knn07mc55jjvf9mr9n,1,1,4,4,4,Just use my memory,
4v07twzd8u7flz37znyp5ahi,1,1,2,4,5,"I basically just tried to remember, by memory, which patterns/shapes were good or bad based on trial and error.",This was a fun and interesting study. Thank you for the opportunity to participate!
4v17v6gmgneye8dtdtc24edi,1,1,4,3,4,"trial and error, once I feel one is locked down focus on the next until all are clear.",Thanks!
4v9dxlevowlqpnkfrtoyigh7,1,2,5,4,5,I just tried to stay focused,
59alhvho5v1e7tbqe6pa4zua,1,1,5,5,5,,
5kfsrwk6isjumbygpci2nc1b,1,1,2,5,5,Tried to remember symbols,None
5s1xh81p48d3cgfopxg5th7b,1,1,3,5,5,Remember only what I need to accept.,
6g87adypc7f01zqupbd6odyy,1,2,3,2,5,no,
6h6js8ula53vd8q3q1xov9s2,1,1,5,3,5,no,no
