subject,session,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,difficulty,fun,clarity,strategy,feedback
09byk3dg92is9b06rwaybmoh,3,29.2,0,4,4,5,4,0,1,4,5,"At this point, I just gave up and let the back of my brain make the decisions. I couldn't figure out any pattern but figured my subconscious could and let it decide. ",Nope.
1ahxnduc1fr21fpplm87wkk6,3,18.92,6,4,5,4,4,0,4,4,5,no,none
1nn8ci654pmi5ny2ho1q3dxi,3,18.38,3,4,4,4,4,0,2,5,5,I mentally gave some of the shapes names to make them easier to remember,no
1x8zaa76pikfxwotrhhxcogi,3,21.0,30,4,4,4,4,0,2,5,5,I did what I did the past time.  To try to test each option and see how likely they are to need repair or not and try to choose the right option after I see enough of the pattern.,Very fun and interesting game to play!  Hope you do more of these they are really enjoyable!
1ztbhfxllii1xhq9f1v62x26,3,18.74,0,4,5,4,4,0,3,5,5,Just ried to look for patterns ,Love it wish we could see our score as we play. Thanks good luck with your work
2b5obc6ufsggq6sv58asdi6i,3,22.23,0,4,4,4,4,0,2,5,5,I tried to remember the symbols on the robot's chest by relating them to a familiar letter or picture. I tried to identify which robots needed repair and paid attention to trends in points values changing that would indicate the robot had changed status from needing repair to not needing repair. ,This was a very interesting study. It was definitely a bit more challenging as more symbols were introduced but I enjoyed it and appreciate the opportunity. 
3bjwmrvejholhv36ho3y3mh8,3,21.09,2,4,4,4,4,0,2,5,5,"I tried to keep track of the robots I needed to repair and those I did not.  As in the previous rounds, this was a very challenging thing to do.  While some robots seemed mostly consistent in whether they needed to be repaired, others seemed to flip-flop each time they passed by (though that could also just be my perception).",
3kg0pvgsyc9iqyb89p6yr1oh,3,18.94,0,4,4,4,4,0,4,5,5,"no, just tried to memorize the symbols",no
41tzei8zdxnl7g0ylu26ieur,3,17.61,0,4,4,4,4,0,4,4,5,no,no
46b5352aly4p8vyup0c3qupa,3,25.17,20,4,4,4,5,0,4,3,5,I concentrated on remembering the symbols of the robots that caused me to lose more points or not gain as many points when I didn't fix them.,None.
4eieaza893bbdomymq9tbyc5,3,17.75,3,4,4,4,4,0,2,3,5,no,
4pslf12zjxl5o101sd4874sx,3,81.88,11,4,4,4,4,0,4,4,5,remembering space robots ,
54fjwf0mzvlpbybzj7v87eq1,3,18.12,6,5,4,4,4,0,2,4,5,"Not really, just tried to remember the shapes and adjust accordingly.",Nope
55dxh6v7nb1nnkvit5kjedbq,3,17.87,0,4,4,4,4,0,3,4,5,No.,none
5lsfzqrcs8ztdl2pc36tmwu3,3,20.75,0,5,4,4,7,0,2,4,5,"just tried memorizing some symbols, but I have poor short term memory, and it was a bit hard",fun task though
6jphiv663y8a7ztz5tvdi7lg,3,20.15,12,4,4,4,4,0,4,4,5,This time I purposefully remembered the robots I needed to repair; and not to try to remember the ones I -didn't- need to repair - It meant I only had to focus on 2 or 3 symbols at a time and helped me immensely.,You rock! You rule! 
6oznn9uweo0zvv0igie5jp1c,3,20.35,7,5,5,4,4,0,4,5,5,No. I just tried to remember the symbols vs whether they could be ignored or needed work.,
72yuyu49877hzl64v55frwns,3,41.69,19,4,10,4,4,0,3,2,4,,
783ec1u4y9q2mvd4gn99cqle,3,19.17,0,4,4,4,4,0,2,4,5,Tried to remember the symbols the best I could,none
