subject,session,comprehension,difficulty,fun,clarity,strategy,feedback
0ubclurpshlgyru3cwo3stun,2,1,4,4,5,I just memorized which ones generally yielded the best results.,No
12ide102xqajrz6cxib9berc,2,1,5,5,5,I tried the robots a few times and then had a standard. ,
1e7zni3hs3hxwy7aqhg0bkb0,2,1,4,4,5,tried to remember the shapes in the middle,no
1idwvxzpt8dvsgsfthnl4uu1,2,1,4,5,5,"I just tried to memorize the results. I wanted to change my reaction after one of the results changed due to a malfunction, but there didn't seem to be a pattern there.",
1pvf4ir8v21v5wrnei5xl1zq,2,1,4,4,5,Just figured it out in my head the likely good one,no
35u9tjs3cet5fhuskp61780m,2,1,4,5,5,"No writing, just figured it out the same way as last time.",
3eazb0ta6orlr8pndlxjcx7u,2,1,4,4,5,"I just tried to memorize which symbols were good, and which were bad.",
3jijrkavuzibk5dbcpckeszy,2,1,4,5,5,"I first tested hitting each one and deducing which 2 I would need to ""hit"". For example on the last batch I designated two that looked like a snake and wavy arms that I needed to hit and leave the rest rejected.",Thanks it was fun and looking forward to the next one! 
3wbvn159qj7euefwbye5hsa1,2,2,5,4,5,"Nope, just did my best to remember",No comments
49tag69y1779cq1xg8vbych8,2,1,2,5,5,I said the shape inmy mind with a yes or no,Thank you
4czoxtp58q3xntzt3xinuxym,2,1,3,4,5,Just tried to remember what typically paid out what.,
4dymnxa4iq2lis85044q2d18,2,1,3,4,5,didn't write anything down but just went with a answer for each until it was proven incorrect etc,no issues or concerns
4h35z4tknl9w66kawo0m99q7,2,1,3,4,5,None,
4mgb8kl5yu9c3gnz77hricuo,2,1,4,4,5,none,none
4slss2knn07mc55jjvf9mr9n,2,1,4,4,5,"Most of the time I memorize the symbols, sometimes I just use intuition",
4v07twzd8u7flz37znyp5ahi,2,1,4,4,5,"My stategy was to use trial and error at first. I would memorize which shapes would, on average, give the better payout. Once I felt comfortable knowing which were the ""good"" shapes, I would memorize them.",Thank you!
4v17v6gmgneye8dtdtc24edi,2,1,5,4,5,first guess was a guess then after a few sticking with which seems correct. ,Thanks!
59alhvho5v1e7tbqe6pa4zua,2,1,5,5,5,No,Very fun HIT. Thank you
