name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	1.68	0.0124	0.145	1.46	1.67	1.93	138.0	0.054	1.02
mu_pr[2]	-0.793	0.00727	0.0977	-0.956	-0.792	-0.628	181.0	0.0708	1.02
mu_pr[3]	0.0681	0.000601	0.00983	0.0525	0.0679	0.0849	267.0	0.105	1.02
mu_pr[4]	0.0446	0.000286	0.00616	0.0349	0.0445	0.055	462.0	0.181	1.0
L[1,1]	1.0		6e-16	1.0	1.0	1.0			
L[1,2]	0.0		0.0	0.0	0.0	0.0			
L[1,3]	0.0		0.0	0.0	0.0	0.0			
L[1,4]	0.0		0.0	0.0	0.0	0.0			
L[2,1]	-0.521	0.00661	0.0954	-0.668	-0.526	-0.355	208.0	0.0815	1.02
L[2,2]	0.847	0.00407	0.0582	0.744	0.85	0.935	204.0	0.0801	1.02
L[2,3]	0.0		0.0	0.0	0.0	0.0			
L[2,4]	0.0		0.0	0.0	0.0	0.0			
L[3,1]	-0.486	0.00463	0.0991	-0.638	-0.491	-0.317	459.0	0.18	1.01
L[3,2]	-0.0793	0.0056	0.119	-0.271	-0.0788	0.118	453.0	0.177	1.0
L[3,3]	0.855	0.00239	0.0554	0.76	0.859	0.94	536.0	0.21	1.01
L[3,4]	0.0		0.0	0.0	0.0	0.0			
L[4,1]	-0.461	0.00645	0.13	-0.663	-0.468	-0.233	404.0	0.158	1.02
L[4,2]	-0.188	0.0037	0.121	-0.386	-0.182	0.0112	1079.0	0.423	1.0
L[4,3]	0.0377	0.00656	0.155	-0.22	0.0388	0.298	561.0	0.22	1.01
L[4,4]	0.83	0.00389	0.0733	0.697	0.837	0.94	355.0	0.139	1.02
sigma_pr[1]	-0.0665	0.00531	0.111	-0.242	-0.0702	0.121	435.0	0.171	1.01
sigma_pr[2]	-0.25	0.005	0.0964	-0.408	-0.251	-0.0958	372.0	0.146	1.01
sigma_pr[3]	-2.63	0.0076	0.129	-2.84	-2.62	-2.42	288.0	0.113	1.01
sigma_pr[4]	-3.29	0.00891	0.153	-3.55	-3.29	-3.04	295.0	0.116	1.02
