subject,session,comprehension,difficulty,fun,clarity,strategy,feedback
0ubclurpshlgyru3cwo3stun,4,1,4,3,5,I just memorized which ones generally yielded the best results.,Have a good day!
12ide102xqajrz6cxib9berc,4,1,4,5,5,Tried to follow a pattern as soon as possible to maximize the bonus. ,
1e7zni3hs3hxwy7aqhg0bkb0,4,1,4,5,5,tried to remember the good ones,no
1idwvxzpt8dvsgsfthnl4uu1,4,1,5,5,5,I just tried to remember what was correct. On a few occasions it seemed like my original belief of which response was correct was in fact incorrect. When this happened I changed my response a couple of times to verify.,
1pvf4ir8v21v5wrnei5xl1zq,4,1,4,4,5,No,No
35u9tjs3cet5fhuskp61780m,4,1,4,5,5,I accepted each robot until I knew which robot was which.,
3eazb0ta6orlr8pndlxjcx7u,4,1,4,5,5,"I just tried to memorize which symbols were good, and which were bad.",
3wbvn159qj7euefwbye5hsa1,4,1,5,5,5,just memory,nope
49tag69y1779cq1xg8vbych8,4,1,2,5,5,I said the shape inmy mind with a yes or no,
4czoxtp58q3xntzt4xinuxym,4,1,3,5,5,Just tried to remember what typically paid out what.,
4dymnxa4iq2lis85044q2d18,4,1,5,4,5,didn't write anything down but just went with a answer for each until it was proven incorrect etc,"no issues or concerns, task is pretty enjoyable"
4h35z4tknl9w66kawo0m99q7,4,1,5,5,5,no,
4mgb8kl5yu9c3gnz77hricuo,4,1,4,4,5,none,none
4slss2knn07mc55jjvf9mr9n,4,1,3,5,5,"Most of the time I memorize the symbols, sometimes I just use intuition",
4v07twzd8u7flz37znyp5ahi,4,1,4,5,5,I didn't write anything down. Just used trial and error at first to determine which symbols were good/bad.,
4v17v6gmgneye8dtdtc24edi,4,1,5,3,5,Presuming 2 are good and 2 are bad I accepted the first 2 that call to me and feel confirmed if they are right/wrong after just a trial or two. ,
59alhvho5v1e7tbqe6pa4zua,4,1,5,5,5,No,No
5kfsrwk6isjumbygpci2nc1b,4,1,4,5,5,No writing. Trying to remember combination symbol- action.,None
5s1xh81p48d3cgfopxg5th7b,4,1,4,4,5,Remember only what I needed to accept.,
6h6js8ula53vd8q3q1xov9s2,4,1,3,4,5,no,no
